11-30-25,Bud Walton Arena,Harvard
12-4-25,Dallas Texas,SMU
12-7-25,Bud Walton Arena,Jackson State
12-13-25,Springfield Mo.,Missouri State
12-17-25,Bud Walton Arena,UMKC
12-20-25,Bud Walton Arena,Stephen F. Austin
12-28-25,Bud Walton Arena,Arkansas State
1-1-26,Bud Walton Arena,Vanderbilt
1-4-26,Tuscaloosa Ala.,Alabama
1-8-26,Bud Walton Arena,South Carolina
1-11-26,Knoxville Tenn.,Tennessee
1-15-26,Columbia Mo.,Missouri
1-22-26,Bud Walton Arena,Georgia
1-25-26,Bud Walton Arena,Texas
1-29-26,Baton Rouge La.,LSU
2-1-26,Bud Walton Arena,Kentucky
2-5-26,Bud Walton Arena,Missouri
2-8-26,Gainesville Fla.,Florida
2-12-26,Oxford Miss.,Ole Miss
2-16-26,Bud Walton Arena,Mississippi State
2-22-26,Bryan-College Station Texas,Texas A&M
2-26-26,Norman Okla.,Oklahoma
3-1-26,Bud Walton Arena,Auburn
